protA	protB	interaction
Q55169	P41695	NO
Q9H4M9	Q9P2R3	YES
Q9NZ52	P42838	NO
P20340-1	Q02410-2	YES
Q8WW34-2	Q7KNQ9	NO
P40259	O43765	YES
P14373	P33338	NO
P02309	Q08649	YES
Q07817-1	Q12098	NO
Q62765	Q63373	YES
Q8N114	P47736	NO
P01903	P04233	YES
P19419	Q02241	NO
Q13616	P41002	YES
P41932	P18031	NO
Q9NYB9-2	Q13049	YES
P32526	O08838	NO
Q16186	Q9UHD9	YES
D3QNI8	G8HBG2	NO
P17693	P13747	YES
P23396	Q9GZT8	NO
Q924T7	O88522	YES
P68466	O94901	NO
P62140	Q13362	YES
Q16665	Q96KB5	NO
Q13291	E2RZS2	YES
A7BFV9	Q96ES7	NO
P31947	Q14678-2	YES
Q9CR95	P68431	NO
Q5S007	Q9UNE7-1	YES
Q15459	Q14164	NO
Q9NV96	O43520	YES
Q9NVP2	P62826	NO
O70161	Q9DBG3-2	YES
P40565	P13681	NO
Q9UQ84-1	P43246	YES
P28799	O75460	NO
Q9NT62	Q9GZQ8	YES
P34144	P20700	NO
Q14694	Q5D1E8	YES
P21146	Q9BZR8	NO
Q13227	O60907-2	YES
P49718	P49639	NO
P11938	P06701	YES
P36046	P06780	NO
Q9QPN3	P50570	YES
Q9DGW5	Q15326	NO
P53141	P19524	YES
E1C4Y2	P18465	NO
P14737	P47027	YES
Q9HBX9	Q8WXH5	NO
Q9UBU8-2	Q96QT6	YES
D1MYR8	P30050	NO
O60132	P13681	YES
P28482	Q06708	NO
P40075	P39523	YES
P61981	Q9UBU9	NO
O15379	Q9Y618	YES
Q02750	P43601	NO
P02538	Q9BYV2	YES
D1MYR7	P27824	NO
Q9H492	Q9Z2F7	YES
P60010	Q940H6	NO
Q86YN6	P03372	YES
Q96G27	Q9BZD2	NO
Q13043	P31749	YES
Q9BXS4	Q92731	NO
Q03164	P68431	YES
P30622-2	P61619	NO
P17535	O00255-2	YES
Q12768	P46108-1	NO
P24941	Q16667	YES
Q92569	P07091	NO
P61966	P22892	YES
Q13586	P00533	NO
P39108	P50091	YES
Q72497	P16333-1	NO
P05928	Q9Y4B6-3	YES
P10275	P04049	NO
P19419	P63165	YES
P25788	O14170	NO
Q9WVE0	Q62193	YES
Q04206	O15105	NO
Q55980	Q55389	YES
P35222	P55209	NO
Q9ES28-2	Q9QX74	YES
P54198	P02787	NO
O14490	Q62696	YES
O34483	Q15654	NO
B1AYL1	Q62696	YES
Q6P9Z1	Q96KS0	NO
P40337	Q15369	YES
Q60989	Q6PJG9	NO
P10451-1	Q14790	YES
